[2024-02-27 03:58:16,279] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,254] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,320] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,320] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,446] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,446] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,446] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,621] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,621] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,621] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,621] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,779] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,779] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,779] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,779] ERROR    Navigator    No target position received
[2024-02-27 03:59:06,779] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,071] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,346] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:07,654] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,020] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,463] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:08,929] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,429] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:09,954] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:11,154] ERROR    Navigator    No target position received
[2024-02-27 03:59:11,154] ERROR    Navigator    No target position received
[2024-03-04 09:46:38,514] INFO     AppCommand   autoMode received: 253
[2024-03-04 10:06:00,381] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:12,886] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:15,629] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:15,629] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
